,lead_time,no_of_special_requests,avg_price_per_room,arrival_month,Unnamed: 0,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,booking_status
113,91,0,80.75,9,9833,19,3,2,1,0,1
114,18,1,77.0,10,24710,26,3,1,1,0,1
115,19,1,73.9,1,30875,30,4,1,0,0,1
116,1,1,116.0,3,15840,8,4,1,0,0,1
117,164,1,100.0,10,1712,2,3,1,0,0,1
118,315,0,52.0,12,5432,2,3,2,0,0,1
119,111,1,107.1,8,27787,12,4,2,0,3,1
120,61,0,91.0,10,33001,4,3,0,2,0,1
121,10,0,79.2,12,28530,16,4,2,1,0,1
122,2,0,58.0,12,9859,9,3,3,0,0,1
123,180,0,120.0,10,7140,10,4,2,1,0,0
124,1,1,121.5,6,1061,14,4,4,0,3,1
125,223,0,86.63,7,28487,24,4,1,2,0,0
126,25,0,129.0,5,16969,10,4,3,0,3,1
127,1,0,183.0,5,32609,9,4,1,1,0,1
128,88,1,85.0,9,22232,3,3,5,2,0,1
129,1,1,72.0,12,21876,5,3,2,2,0,1
130,23,3,129.0,9,31139,28,4,2,0,3,1
131,210,2,96.9,8,16447,2,3,6,2,0,1
132,128,0,114.3,8,6444,8,4,2,1,0,0
133,45,2,96.9,11,11408,24,4,3,2,0,1
134,80,1,125.1,9,13262,29,4,1,0,3,0
135,127,0,103.5,7,30770,7,4,3,0,3,0
136,6,0,86.5,12,7736,18,4,1,0,0,1
137,6,2,121.75,10,13650,31,4,3,1,0,1
138,145,0,153.0,10,21910,22,4,1,1,1,0
139,64,0,94.5,4,24178,21,4,3,0,3,1
140,1,0,146.0,9,9894,29,2,3,0,1,1
141,17,3,73.88,10,34104,1,4,2,0,0,1
142,4,0,92.93,8,16230,2,4,1,0,3,1
143,118,1,139.5,8,4323,15,4,2,1,0,1
144,3,0,71.8,12,16656,5,4,3,1,3,1
145,1,0,0.0,2,26311,26,4,0,0,3,1
146,68,0,90.95,4,33885,5,4,4,0,0,0
147,6,1,67.0,11,6278,16,2,1,0,0,1
148,26,0,104.0,12,15671,16,4,2,0,0,0
149,119,0,112.5,6,1444,28,4,1,0,0,0
150,14,2,136.0,10,19757,26,4,1,1,0,1
151,152,0,101.58,7,5847,11,4,3,1,0,0
152,34,0,99.9,4,29777,12,3,1,0,0,1
153,310,2,68.57,12,19248,27,4,10,2,3,0
154,273,0,95.0,5,13849,13,3,2,1,0,0
155,82,1,112.1,8,31269,14,4,2,2,0,1
156,245,0,75.0,6,596,17,4,2,0,0,0
157,252,0,106.3,10,12264,15,4,1,2,0,0
158,20,1,174.0,9,15766,16,4,2,0,0,1
159,118,0,159.3,6,25162,2,4,3,0,0,0
160,34,2,88.0,12,4862,16,4,1,0,3,1
161,44,2,110.13,11,6378,4,4,2,1,0,1
162,29,0,85.0,12,13201,2,2,2,0,0,1
163,113,2,76.5,8,19365,22,4,1,0,0,0
164,40,0,81.9,3,27386,5,4,3,2,0,0
165,10,4,134.5,10,33399,7,4,2,2,3,1
166,60,0,68.0,12,36074,27,3,3,2,0,1
167,124,2,126.9,6,23704,10,4,2,1,0,1
168,193,0,160.2,12,27200,29,4,3,0,0,1
169,135,3,76.5,8,28400,1,4,3,2,0,1
170,32,0,72.9,2,229,5,4,2,1,0,0
171,28,2,154.0,9,36109,28,4,2,0,0,1
172,0,0,76.0,1,12662,21,2,1,0,0,1
173,159,0,144.0,9,15084,19,3,2,1,0,0
174,66,2,168.3,8,32840,19,4,2,0,0,1
175,6,1,95.0,11,29515,25,4,1,0,3,1
176,271,0,78.3,12,23753,3,3,1,2,0,1
177,95,0,103.5,6,18068,29,4,4,0,3,0
178,150,1,90.0,6,35101,16,3,3,0,1,1
179,0,0,97.0,2,15033,24,4,1,0,0,1
180,11,0,92.4,10,1242,19,4,3,1,0,1
181,194,0,86.63,7,29944,9,4,1,2,0,0
182,104,1,69.3,11,27747,12,4,3,2,0,1
183,221,1,96.0,8,16628,12,3,1,0,1,1
184,68,1,131.4,6,35885,30,4,2,0,0,0
185,74,0,109.0,9,28211,18,3,2,0,1,1
186,6,0,120.0,11,33581,16,4,1,0,3,1
187,44,0,75.0,2,9838,17,3,3,0,0,1
188,93,1,126.9,6,17692,20,4,1,1,0,1
189,66,1,68.0,12,19785,23,3,5,2,0,1
190,42,0,131.4,3,33848,22,4,1,0,0,1
191,111,1,168.3,9,17570,22,4,2,0,0,0
192,12,2,90.0,8,962,30,4,0,1,0,1
193,210,0,86.0,10,5816,8,4,3,1,1,0
194,73,1,60.98,12,31181,3,4,1,0,3,1
195,141,1,163.8,9,24464,23,4,2,0,0,1
196,55,1,168.3,9,23314,10,4,1,1,0,1
197,0,1,221.0,5,22315,3,4,4,0,0,1
198,213,0,67.5,12,33211,17,4,1,0,3,1
199,152,2,74.8,12,23396,18,4,2,2,3,1
200,15,0,97.0,3,4430,12,4,1,2,0,0
201,189,1,60.0,3,12833,25,3,2,1,0,1
202,160,1,129.0,6,25002,17,4,2,1,0,0
203,1,0,94.0,7,6980,7,2,1,0,0,1
204,30,1,117.9,5,14170,23,4,1,1,0,1
205,180,2,51.28,11,34367,13,4,0,1,3,1
206,296,1,117.0,9,31481,21,3,4,0,1,0
207,47,2,173.12,4,25355,15,4,2,1,0,1
208,173,0,143.1,9,2193,10,4,1,2,0,0
209,2,2,220.0,7,29470,29,4,2,0,0,1
210,0,1,0.0,3,36080,21,1,1,1,0,1
211,86,0,87.5,9,26251,24,3,2,0,0,1
212,273,0,109.0,7,153,17,4,2,0,1,0
213,65,0,68.0,12,24799,17,3,1,2,0,1
214,13,1,87.78,10,1325,25,4,3,0,3,1
215,47,1,118.8,10,32101,4,4,3,0,0,1
216,47,2,94.5,10,14,20,4,2,0,0,1
217,107,1,63.75,8,20789,9,3,4,2,0,0
218,229,0,80.75,10,8327,22,4,2,2,0,0
219,67,0,105.0,11,4822,25,3,2,0,0,1
220,46,1,82.9,3,33247,10,4,2,0,0,1
221,102,0,109.0,10,31977,16,3,2,0,1,1
222,0,0,118.8,9,765,7,4,1,1,0,0
223,140,2,72.25,12,32817,29,4,3,0,0,1
224,6,0,0.0,12,15696,10,4,2,0,1,1
225,0,0,106.65,9,28182,29,4,1,0,3,1
226,7,1,215.0,4,29786,15,3,2,0,1,1
227,130,1,110.7,10,24042,21,4,2,0,0,1
228,50,0,89.1,10,19718,20,4,1,0,3,0
229,89,2,137.7,7,27554,17,4,0,1,0,1
230,82,1,133.98,11,16914,7,4,2,1,3,0
231,122,0,85.0,4,34656,15,3,2,0,0,1
232,105,0,75.0,4,36073,6,3,1,0,0,0
233,15,1,91.0,2,26082,16,4,2,0,0,0
234,181,0,120.0,10,877,11,4,2,0,0,0
235,2,0,104.79,6,16678,29,4,2,0,3,1
236,280,0,110.0,9,17126,19,3,2,1,0,0
237,44,0,95.0,4,500,23,3,1,2,0,1
238,247,1,115.0,6,35972,6,3,1,1,1,0
239,29,0,78.2,3,18455,2,4,4,1,0,0
240,301,0,90.0,7,15694,30,3,1,1,1,1
241,64,0,140.0,5,5750,17,2,2,0,0,0
242,0,0,104.0,4,3129,9,2,1,2,0,1
243,83,1,167.1,8,24201,1,4,3,1,0,1
244,1,2,139.5,9,20463,16,4,1,0,0,1
245,2,0,131.0,5,2092,30,4,0,1,0,1
246,21,1,88.4,11,10529,13,4,4,2,0,1
247,24,0,105.0,9,33483,15,4,3,0,0,1
248,2,0,77.0,11,15555,23,2,3,0,0,0
249,1,0,60.0,2,14855,28,3,1,2,0,0
250,36,1,88.4,12,7209,18,4,2,2,0,1
251,9,2,130.0,2,34392,6,4,1,2,0,1
252,81,0,96.3,4,35105,15,4,2,0,0,0
253,34,0,85.5,9,5856,18,3,0,1,0,1
254,21,0,129.0,3,31322,4,4,1,0,1,0
255,338,0,90.67,10,22912,7,3,2,1,0,1
256,25,2,106.88,2,20936,26,4,2,2,0,1
257,89,1,139.95,7,12239,18,4,3,1,0,0
258,190,0,109.3,5,2965,6,4,2,2,0,0
259,4,0,169.0,9,11069,15,4,3,2,0,1
260,76,1,79.2,12,9068,3,4,1,2,3,1
261,48,1,105.0,3,23220,29,3,3,0,0,1
262,183,1,110.0,9,16543,8,3,3,0,0,0
263,4,1,133.98,11,3859,20,4,0,1,0,1
264,0,0,0.0,11,21376,10,1,2,0,0,1
265,59,0,80.75,3,6294,31,3,3,1,0,1
266,41,0,76.5,8,25659,15,3,2,1,0,1
267,0,0,67.5,1,24079,8,4,1,0,0,1
268,0,0,106.4,6,25926,27,3,0,1,0,1
269,0,0,73.9,1,18525,6,4,1,0,0,1
270,5,2,81.07,2,22733,27,4,1,0,0,1
271,68,1,67.5,3,10409,11,4,2,0,3,1
272,0,0,0.0,9,4591,18,1,0,2,0,1
273,0,1,135.0,7,22618,5,4,1,0,0,1
274,15,0,80.0,1,33310,26,2,2,0,0,1
275,71,2,79.2,11,21092,3,4,1,0,3,1
276,12,1,65.0,11,13468,25,2,1,0,0,1
277,180,0,96.3,8,20836,28,4,0,2,0,0
278,55,0,100.0,9,9240,9,2,2,0,0,0
279,115,0,72.25,8,12093,22,3,3,1,0,1
280,95,2,72.25,12,13704,5,4,1,0,0,1
281,8,1,126.0,9,14690,20,4,1,2,0,1
282,102,0,109.0,10,26410,16,3,2,0,1,1
283,0,0,60.0,2,34317,27,3,1,0,0,1
284,2,1,258.0,9,60,2,4,1,0,0,1
285,63,1,149.4,9,13347,8,4,3,0,0,0
286,51,0,123.3,9,8845,2,4,2,1,0,0
287,0,1,117.05,10,10457,15,4,1,0,0,1
288,112,0,100.0,6,31490,2,3,2,0,0,1
289,98,0,71.4,9,25754,21,3,3,1,0,0
290,304,0,89.0,11,25954,3,3,3,0,0,0
291,15,0,164.0,9,22003,28,4,1,0,0,1
292,48,1,79.2,11,13862,6,4,0,1,3,1
293,142,1,79.2,12,34477,22,4,2,0,3,1
294,79,0,75.0,11,26370,13,3,2,0,0,1
295,10,2,0.0,8,14198,21,1,1,0,0,1
296,120,0,74.8,11,5141,27,4,5,2,3,0
297,121,0,90.0,6,8660,24,3,2,1,0,0
298,18,1,83.04,12,22103,2,4,2,2,3,1
299,136,0,93.08,7,27395,2,4,2,2,0,0
300,24,0,104.0,12,29304,1,4,3,1,0,1
301,301,1,115.0,7,3224,30,4,1,1,1,0
302,237,0,95.56,12,18268,28,4,5,2,0,0
303,94,1,110.75,3,10500,28,3,5,1,1,1
304,5,1,120.6,2,28741,28,4,3,2,0,1
305,16,2,105.0,9,24404,13,4,1,2,0,1
306,103,1,76.5,8,34794,8,4,1,1,0,1
307,22,0,129.0,3,16581,21,4,1,1,3,0
308,51,1,85.5,9,4956,10,3,2,2,0,1
309,32,1,103.35,6,15992,20,4,1,1,0,1
310,49,1,170.1,5,4125,9,4,4,1,1,1
311,14,0,100.0,10,7733,15,3,2,0,0,1
312,4,2,120.0,2,5676,5,4,2,0,0,1
313,192,0,95.0,6,33140,24,3,2,0,0,1
314,87,2,96.3,4,16051,26,4,3,0,0,1
315,44,0,75.0,2,1164,17,3,3,0,0,1
316,79,1,183.6,9,20775,15,4,3,2,1,0
317,45,0,185.6,10,7471,8,4,1,2,1,1
318,258,0,110.0,10,24862,16,3,0,1,0,0
319,3,0,189.75,2,9153,29,4,3,1,0,1
320,2,1,90.47,4,2830,1,4,2,0,0,1
321,105,2,118.8,9,23301,4,4,2,2,3,1
322,21,1,119.0,10,5967,19,4,3,0,3,1
323,21,0,76.0,11,4617,5,4,2,0,0,1
324,10,0,110.0,9,15034,30,0,1,0,0,0
325,74,1,134.31,12,22786,25,4,1,2,0,1
326,121,0,105.3,7,36089,23,4,1,1,0,1
327,19,0,80.0,10,29219,6,3,3,0,0,1
328,39,0,101.5,8,11163,14,3,2,0,1,1
329,112,1,115.52,5,11699,5,4,3,1,0,1
330,315,0,160.0,9,4677,30,4,2,1,1,0
331,82,2,123.0,10,17011,21,4,4,2,0,0
332,5,0,80.0,2,19182,24,2,2,0,0,1
333,0,0,89.0,3,10422,21,4,0,1,3,1
334,24,1,100.0,2,7624,24,4,4,0,0,0
335,201,1,103.5,8,14792,9,4,2,0,3,0
336,28,0,70.0,10,18365,5,3,1,1,0,0
337,55,0,116.1,5,5687,21,4,1,2,3,0
338,311,1,112.5,12,19245,30,4,2,0,0,0
339,62,0,75.0,9,9076,21,3,1,0,1,1
340,13,2,260.0,11,13293,10,4,1,0,0,1
341,27,1,126.0,4,8094,12,4,3,0,0,1
342,4,0,124.0,7,30709,28,4,2,0,3,0
343,1,0,0.0,8,8955,26,1,1,0,0,1
344,263,0,110.0,10,30393,21,3,2,0,0,0
345,100,0,100.0,9,8050,28,3,4,0,0,0
346,82,1,80.0,5,13823,2,3,1,1,0,1
347,114,0,76.5,7,709,11,4,1,2,0,0
348,4,0,92.0,8,31117,12,4,2,0,3,1
349,172,0,95.0,6,17505,24,3,2,0,0,0
350,6,1,71.2,4,8787,3,3,1,2,3,1
351,4,0,166.0,3,28352,20,4,0,2,0,1
352,6,0,87.0,12,6494,18,4,2,1,0,1
353,79,0,143.1,7,24964,9,4,3,2,0,1
354,0,0,144.0,8,33287,11,4,2,0,0,1
355,14,0,174.0,12,32067,2,4,1,0,0,1
356,19,0,90.0,10,24540,6,3,3,0,0,1
357,71,0,80.0,5,24243,10,3,3,0,0,1
358,41,1,86.07,1,6731,7,4,4,2,0,1
359,64,1,71.83,3,18755,22,3,4,0,0,1
360,17,1,138.6,11,23541,27,4,3,2,0,0
361,39,2,145.1,8,33622,17,4,1,0,3,1
362,200,3,82.92,10,24929,31,4,2,1,0,1
363,91,0,80.0,4,20289,4,3,2,1,0,0
364,42,1,103.84,4,34211,21,4,3,1,0,1
365,126,2,146.7,7,2466,23,4,1,0,0,1
366,174,1,85.5,6,35767,29,4,3,0,3,1
367,17,0,58.0,12,12894,21,3,4,1,0,1
368,47,2,114.48,7,35017,2,4,2,2,0,1
369,0,2,0.0,11,24307,14,4,0,0,0,1
370,41,0,191.58,4,18213,21,4,3,0,0,0
371,257,0,101.5,7,26527,1,3,2,0,1,0
372,63,0,116.0,9,723,4,3,2,0,1,1
373,1,0,110.0,8,36222,12,3,4,0,0,1
374,5,0,94.0,12,29759,7,4,1,0,0,1
375,143,0,64.26,5,25209,2,4,4,1,3,1
376,15,0,85.33,2,4189,18,3,3,0,0,1
377,0,0,79.0,2,15368,18,4,1,0,3,1
378,338,1,90.67,10,12008,7,3,2,1,0,1
379,88,0,116.1,6,34743,10,4,2,1,3,0
380,1,0,95.0,6,18632,22,0,3,0,0,1
381,164,0,99.45,7,29030,6,4,4,2,0,0
382,182,2,112.2,8,2501,10,4,7,2,0,0
383,26,0,65.52,2,24023,11,4,3,0,0,1
384,79,0,152.4,6,35931,16,4,4,2,0,1
385,160,0,119.85,5,25945,27,4,2,0,0,0
386,2,0,91.67,12,19425,5,2,6,3,0,1
387,0,2,0.0,7,23007,29,1,1,0,0,1
388,13,1,109.5,10,32284,26,3,1,0,0,1
389,123,0,201.6,9,24447,25,4,0,2,0,0
390,0,1,90.0,8,12263,5,4,4,0,0,1
391,90,1,76.5,4,23763,8,4,2,1,3,1
392,8,1,65.0,3,20088,30,2,5,2,0,1
393,71,0,75.95,2,3848,23,4,4,0,0,1
394,303,1,78.0,8,4378,19,3,3,2,0,1
395,0,0,90.71,5,1370,11,4,1,0,3,1
396,96,0,94.5,7,5251,11,3,1,2,1,1
397,32,0,104.0,12,20549,3,4,2,2,0,0
398,95,0,60.5,12,307,29,3,4,0,0,1
399,11,0,139.0,8,10283,13,4,2,2,3,1
400,94,1,79.2,11,10798,3,4,3,1,3,1
401,97,0,85.5,4,30985,25,4,2,1,3,1
402,151,0,70.0,1,2804,19,3,2,0,0,1
403,1,2,106.0,8,31361,25,4,1,0,0,1
404,42,1,75.95,1,25909,17,4,0,2,0,1
405,6,1,169.0,9,22816,28,4,3,1,0,1
406,4,1,104.0,11,34484,6,4,2,1,3,1
407,54,0,140.4,6,3231,3,4,1,0,0,1
408,118,0,86.0,3,221,1,3,1,0,0,1
409,92,1,78.54,3,26692,30,4,4,0,3,1
410,290,0,73.95,12,10895,1,4,3,1,0,0
411,44,2,137.14,4,30939,29,4,2,2,0,1
412,9,2,95.0,9,530,10,4,1,0,0,1
413,62,0,72.75,3,2414,7,4,4,1,3,0
414,7,1,90.0,8,31539,12,4,4,1,0,0
415,79,1,95.2,4,30396,4,4,3,1,0,1
416,71,0,110.5,10,18859,22,3,1,1,0,0
417,239,0,112.2,6,34729,15,3,2,0,1,0
418,102,2,173.95,6,9363,27,4,3,1,0,1
419,2,1,159.0,11,1231,17,4,3,0,1,0
420,15,1,85.29,8,24339,27,4,5,2,0,0
421,143,1,143.1,9,32693,21,4,4,1,0,0
422,10,0,80.75,12,4254,5,4,1,1,0,1
423,256,1,115.0,6,28838,15,3,2,0,1,0
424,50,0,63.75,3,21359,11,4,2,2,3,0
425,24,0,107.0,9,19154,19,3,2,1,0,1
426,103,1,99.9,4,31636,8,4,1,0,0,1
427,3,0,90.0,9,7428,24,3,1,0,0,1
428,80,0,73.1,3,1605,30,4,8,2,3,0
429,0,0,89.0,5,2012,9,4,0,1,3,0
430,51,1,137.7,7,10796,15,4,1,0,0,1
431,159,0,70.5,12,12080,29,3,4,0,0,1
432,13,0,169.0,4,27857,28,4,1,0,1,0
433,81,1,76.5,7,18419,26,4,1,2,0,0
434,256,1,72.25,8,12796,26,3,2,0,0,1
435,4,1,99.0,4,17057,2,4,1,0,3,1
436,276,0,116.33,9,1656,22,4,3,0,0,0
437,225,0,96.3,8,9968,12,4,2,0,0,0
438,167,1,119.7,8,31522,21,4,0,2,0,0
439,1,0,65.0,11,21371,19,2,1,0,0,1
440,36,2,126.9,5,5956,21,4,2,2,0,1
441,121,0,43.5,3,8262,19,3,2,2,0,1
442,86,0,100.0,9,27935,9,2,2,0,0,1
443,15,2,102.0,12,6829,29,4,3,1,3,1
444,37,2,81.9,3,442,10,4,3,1,0,1
445,65,1,109.9,7,11032,27,4,2,0,0,1
446,280,2,78.3,12,22567,6,4,3,0,0,0
447,101,1,92.83,7,35031,23,4,5,2,3,1
448,216,2,96.3,8,2100,27,4,1,2,0,1
449,42,0,94.5,4,29685,20,3,2,0,0,1
450,86,1,88.83,3,1097,23,4,4,0,0,0
451,19,0,69.0,12,34857,5,4,1,2,0,1
452,305,0,89.0,11,16460,4,3,2,1,0,0
453,8,1,92.95,1,21400,2,4,1,2,0,1
454,187,0,105.3,7,36264,8,4,2,0,0,0
455,64,0,112.2,4,603,15,4,3,2,0,1
456,11,0,121.0,5,17008,30,2,3,1,0,0
457,14,1,91.43,8,176,17,4,4,1,3,1
458,211,0,100.0,5,19790,20,3,2,0,0,0
459,4,0,81.0,2,10861,19,2,1,0,0,1
460,90,1,74.8,12,35123,24,4,3,2,3,1
461,37,0,90.0,9,20086,8,3,2,0,0,1
462,107,1,139.5,7,12076,13,4,4,0,1,1
463,30,0,111.3,4,33687,14,4,3,0,0,1
464,26,0,87.0,3,15876,7,3,4,1,0,1
465,29,0,76.81,10,27582,4,4,0,2,0,1
466,2,0,170.0,10,33019,19,2,17,6,0,0
467,20,1,95.0,9,33705,18,3,2,2,0,1
468,6,2,118.0,8,9389,17,4,1,0,3,1
469,256,1,115.0,6,19575,15,3,2,0,1,0
470,263,0,110.0,10,31648,21,3,2,0,0,0
471,31,0,218.0,8,35094,28,4,1,2,1,0
472,418,0,75.0,9,35189,26,3,2,1,0,0
473,32,1,121.5,2,34039,26,4,2,0,0,0
474,92,0,177.3,7,8355,14,4,2,0,0,0
475,298,0,75.0,5,19530,10,3,2,0,0,0
476,5,0,98.32,5,7323,16,2,3,1,0,1
477,57,0,148.95,4,28712,28,4,2,0,0,1
478,286,0,90.0,10,11028,16,3,0,1,0,0
479,85,1,85.0,10,637,6,3,3,1,0,1
480,0,1,159.75,10,2241,7,4,4,0,0,1
481,289,0,67.0,10,7852,17,3,1,0,0,1
482,279,0,110.0,10,32660,12,3,3,0,0,0
483,30,0,0.0,10,35949,8,4,0,0,0,1
484,53,1,161.78,8,7360,25,4,3,1,0,1
485,98,2,121.5,7,14473,16,4,1,1,0,1
486,20,0,79.0,3,11607,31,2,2,0,0,0
487,34,0,80.0,12,14073,1,2,3,0,0,1
488,26,0,161.6,6,1789,17,4,4,2,0,0
489,34,1,98.1,5,25633,22,4,1,2,3,1
490,42,1,124.79,3,2458,17,4,5,2,0,0
491,200,0,51.0,12,33793,1,3,3,2,3,1
492,18,0,93.0,8,28901,26,4,3,0,0,1
493,72,1,96.3,4,183,2,4,1,1,0,1
494,1,0,65.0,11,27147,4,2,1,0,0,1
495,55,0,104.0,4,26566,6,3,1,0,1,1
496,112,0,90.0,6,18746,2,3,1,0,0,1
497,5,0,65.0,5,11905,9,2,1,1,0,1
498,118,0,110.0,6,26595,6,3,2,1,0,1
499,103,0,115.0,4,24721,19,3,2,0,0,0
500,74,0,109.0,9,28603,18,3,2,0,1,1
501,138,0,94.5,8,34590,22,3,1,2,1,0
502,6,0,67.0,10,30817,6,2,1,0,0,1
503,418,0,107.0,9,12831,26,3,2,1,1,0
504,11,0,100.0,10,7845,11,2,3,2,0,1
505,0,2,0.0,2,7531,10,1,1,0,0,1
506,9,1,120.0,11,18123,14,4,3,1,0,1
507,117,1,97.75,6,22758,28,4,4,0,3,1
508,34,0,138.7,11,1800,7,4,2,1,0,1
509,61,0,91.0,10,31707,4,3,0,2,0,1
510,14,0,126.0,4,2289,7,4,3,0,0,0
511,130,0,105.3,7,28446,17,4,1,2,0,1
